I 200
J 20
bounds (0, 100)
cv 1.5
D 50
k 5
t 3
FLR 0.8
FCR 2
abounds (80, 120)

a 
116.0 113.0 108.0 
109.0 100.0 111.0 
111.0 97.0 107.0 
105.0 104.0 90.0 
100.0 97.0 115.0 
108.0 109.0 116.0 
106.0 111.0 115.0 
109.0 95.0 109.0 
102.0 121.0 111.0 
110.0 102.0 107.0 
117.0 110.0 107.0 
109.0 100.0 117.0 
123.0 93.0 85.0 
118.0 119.0 91.0 
110.0 88.0 125.0 
98.0 125.0 76.0 
120.0 116.0 95.0 
96.0 105.0 103.0 
121.0 99.0 113.0 
116.0 114.0 104.0 
112.0 116.0 97.0 
86.0 109.0 106.0 
127.0 87.0 114.0 
94.0 108.0 107.0 
120.0 114.0 107.0 
118.0 110.0 114.0 
108.0 112.0 101.0 
107.0 91.0 100.0 
106.0 98.0 125.0 
108.0 100.0 107.0 
124.0 119.0 124.0 
119.0 108.0 99.0 
91.0 142.0 114.0 
120.0 98.0 112.0 
109.0 100.0 121.0 
109.0 110.0 96.0 
122.0 105.0 132.0 
111.0 101.0 115.0 
94.0 95.0 102.0 
122.0 93.0 124.0 
104.0 127.0 129.0 
97.0 110.0 117.0 
107.0 116.0 104.0 
111.0 114.0 94.0 
115.0 108.0 112.0 
116.0 113.0 87.0 
90.0 106.0 121.0 
136.0 95.0 105.0 
105.0 94.0 116.0 
88.0 121.0 95.0 
115.0 99.0 145.0 
95.0 98.0 93.0 
104.0 114.0 101.0 
90.0 119.0 111.0 
111.0 109.0 100.0 
108.0 102.0 107.0 
97.0 104.0 124.0 
105.0 123.0 101.0 
114.0 113.0 101.0 
106.0 103.0 113.0 
114.0 91.0 132.0 
123.0 100.0 96.0 
109.0 112.0 116.0 
124.0 107.0 122.0 
105.0 115.0 107.0 
112.0 103.0 108.0 
90.0 102.0 95.0 
117.0 113.0 95.0 
138.0 114.0 102.0 
120.0 105.0 114.0 
122.0 98.0 135.0 
94.0 102.0 119.0 
132.0 105.0 122.0 
84.0 132.0 121.0 
105.0 88.0 102.0 
114.0 103.0 111.0 
108.0 103.0 110.0 
108.0 117.0 99.0 
81.0 124.0 120.0 
111.0 119.0 102.0 
112.0 108.0 109.0 
104.0 105.0 131.0 
111.0 109.0 102.0 
117.0 109.0 97.0 
120.0 94.0 100.0 
105.0 120.0 114.0 
103.0 115.0 116.0 
112.0 107.0 112.0 
91.0 111.0 103.0 
121.0 104.0 95.0 
115.0 115.0 105.0 
106.0 113.0 116.0 
117.0 111.0 99.0 
88.0 116.0 104.0 
111.0 108.0 104.0 
130.0 100.0 96.0 
