I 150
J 15
bounds (0, 100)
cv 1.0
D 25
k 5
t 3
FLR 0.4
FCR 4
abounds (80, 120)

a 
83.0 88.0 95.0 
85.0 89.0 84.0 
82.0 96.0 87.0 
96.0 82.0 93.0 
81.0 81.0 71.0 
95.0 89.0 73.0 
80.0 74.0 78.0 
93.0 86.0 88.0 
84.0 80.0 80.0 
73.0 88.0 89.0 
90.0 83.0 82.0 
108.0 73.0 94.0 
87.0 95.0 88.0 
92.0 76.0 88.0 
82.0 104.0 93.0 
79.0 81.0 113.0 
65.0 90.0 88.0 
97.0 96.0 94.0 
85.0 90.0 107.0 
76.0 99.0 87.0 
85.0 96.0 99.0 
85.0 70.0 92.0 
91.0 92.0 104.0 
96.0 109.0 90.0 
71.0 91.0 89.0 
98.0 82.0 83.0 
92.0 80.0 81.0 
87.0 91.0 101.0 
91.0 96.0 100.0 
80.0 85.0 85.0 
95.0 104.0 84.0 
91.0 82.0 97.0 
68.0 78.0 74.0 
81.0 85.0 93.0 
89.0 80.0 81.0 
94.0 102.0 80.0 
88.0 79.0 82.0 
82.0 80.0 81.0 
92.0 88.0 85.0 
93.0 75.0 73.0 
103.0 89.0 92.0 
87.0 87.0 93.0 
72.0 88.0 86.0 
77.0 92.0 86.0 
78.0 76.0 88.0 
75.0 84.0 100.0 
89.0 58.0 81.0 
115.0 89.0 93.0 
82.0 83.0 102.0 
100.0 72.0 84.0 
78.0 80.0 107.0 
83.0 85.0 73.0 
85.0 70.0 90.0 
82.0 111.0 86.0 
86.0 77.0 83.0 
74.0 86.0 94.0 
77.0 72.0 92.0 
92.0 78.0 75.0 
88.0 64.0 95.0 
88.0 76.0 97.0 
77.0 96.0 88.0 
119.0 95.0 73.0 
84.0 85.0 94.0 
87.0 68.0 85.0 
84.0 91.0 87.0 
87.0 94.0 91.0 
86.0 104.0 91.0 
79.0 98.0 93.0 
99.0 76.0 92.0 
89.0 92.0 91.0 
92.0 91.0 104.0 
97.0 80.0 79.0 
88.0 77.0 72.0 
92.0 91.0 98.0 
84.0 74.0 86.0 
91.0 84.0 80.0 
89.0 87.0 82.0 
103.0 94.0 88.0 
87.0 87.0 77.0 
99.0 83.0 90.0 
82.0 84.0 75.0 
90.0 82.0 94.0 
84.0 80.0 95.0 
96.0 78.0 84.0 
78.0 94.0 78.0 
101.0 93.0 80.0 
67.0 93.0 103.0 
76.0 108.0 93.0 
80.0 82.0 87.0 
91.0 91.0 97.0 
89.0 77.0 117.0 
77.0 89.0 94.0 
93.0 98.0 88.0 
79.0 81.0 84.0 
72.0 83.0 94.0 
90.0 86.0 84.0 
105.0 100.0 78.0 
91.0 86.0 87.0 
67.0 80.0 91.0 
89.0 87.0 99.0 
82.0 91.0 93.0 
91.0 88.0 85.0 
85.0 95.0 87.0 
95.0 80.0 77.0 
99.0 88.0 91.0 
99.0 92.0 92.0 
105.0 81.0 93.0 
92.0 74.0 79.0 
87.0 87.0 94.0 
62.0 69.0 75.0 
78.0 97.0 101.0 
85.0 86.0 84.0 
73.0 82.0 76.0 
82.0 89.0 73.0 
82.0 74.0 101.0 
77.0 63.0 66.0 
101.0 86.0 90.0 
102.0 79.0 86.0 
82.0 106.0 76.0 
98.0 88.0 100.0 
90.0 107.0 79.0 
74.0 99.0 84.0 
85.0 63.0 89.0 
98.0 98.0 98.0 
91.0 86.0 80.0 
85.0 73.0 73.0 
97.0 106.0 92.0 
68.0 93.0 90.0 
100.0 74.0 98.0 
95.0 100.0 80.0 
81.0 98.0 75.0 
75.0 85.0 98.0 
105.0 85.0 78.0 
89.0 85.0 75.0 
78.0 93.0 72.0 
87.0 97.0 88.0 
70.0 92.0 107.0 
97.0 85.0 74.0 
68.0 105.0 95.0 
65.0 86.0 96.0 
83.0 90.0 96.0 
95.0 103.0 82.0 
97.0 116.0 72.0 
84.0 91.0 72.0 
85.0 78.0 92.0 
85.0 89.0 72.0 
117.0 88.0 86.0 
81.0 91.0 98.0 
81.0 77.0 94.0 
94.0 73.0 91.0 

Icoords
56.316 44.3218
48.6707 91.4709
92.7271 24.9982
32.6957 2.6796
73.8698 18.9793
60.156 21.7175
64.9283 61.9748
48.5624 69.3632
90.9529 13.4293
49.7437 31.1896
71.5951 69.691
73.155 33.5343
49.6084 69.8056
84.25 85.5288
8.8915 43.6219
80.4576 64.8439
13.5908 24.2604
67.625 50.1984
13.459 84.0297
24.7378 42.2823
35.7351 37.6704
69.5916 79.5805
33.0718 95.6078
80.1567 76.5137
36.3101 48.6786
48.19 84.7351
74.1668 43.0455
77.2488 32.4982
26.1152 76.1151
86.26 63.4683
20.468 42.907
15.8045 51.4552
20.4259 88.9773
98.0619 16.1237
77.345 17.858
63.7097 27.8785
87.2219 93.5745
3.0003 96.7017
26.5324 16.7291
26.9241 92.6389
30.759 15.0108
18.5574 7.7159
26.9514 78.6231
90.5681 75.1343
69.7512 38.4748
49.1195 91.9053
98.8696 77.5495
31.8965 90.5379
31.8698 48.2776
85.6856 39.987
33.9183 79.1225
31.3525 77.4318
52.1542 37.9216
45.7745 48.4035
47.085 57.7852
21.7165 21.9774
6.8191 91.2989
90.2611 53.9712
54.7716 52.2221
81.9036 4.6369
90.3864 87.4282
33.5986 68.9307
25.9652 8.5174
56.3354 79.6367
23.1607 99.0975
21.5902 82.3343
51.169 51.9845
84.2067 2.553
91.6347 3.7396
79.1643 13.2021
74.7834 61.935
32.243 13.2539
64.4275 77.1839
56.7046 52.2588
48.9105 84.9539
59.1011 63.3071
1.229 35.7125
84.9166 60.5513
31.8902 36.5646
24.9887 21.1406
61.7413 73.3952
46.2321 18.5828
71.3616 2.9836
43.3084 69.6494
61.805 38.9755
14.5421 53.1167
75.7502 86.4974
15.9376 75.3623
19.8961 39.1293
