I 150
J 15
bounds (0, 100)
cv 0.5
D 100
k 5
t 3
FLR 0.8
FCR 8
abounds (80, 120)

a 
96.0 81.0 82.0 
70.0 69.0 93.0 
86.0 101.0 79.0 
73.0 78.0 119.0 
81.0 95.0 75.0 
85.0 81.0 79.0 
82.0 91.0 82.0 
83.0 73.0 83.0 
74.0 66.0 85.0 
80.0 90.0 96.0 
85.0 85.0 76.0 
76.0 94.0 73.0 
94.0 85.0 81.0 
83.0 83.0 68.0 
78.0 109.0 69.0 
90.0 76.0 85.0 
69.0 72.0 80.0 
91.0 91.0 85.0 
71.0 87.0 73.0 
70.0 78.0 78.0 
85.0 102.0 83.0 
96.0 83.0 71.0 
80.0 79.0 73.0 
89.0 84.0 74.0 
76.0 80.0 89.0 
78.0 92.0 100.0 
86.0 84.0 70.0 
92.0 79.0 75.0 
100.0 82.0 95.0 
80.0 87.0 85.0 
84.0 80.0 80.0 
84.0 94.0 77.0 
84.0 82.0 89.0 
93.0 74.0 90.0 
93.0 93.0 78.0 
86.0 72.0 66.0 
85.0 81.0 72.0 
82.0 79.0 81.0 
108.0 79.0 76.0 
82.0 82.0 99.0 
79.0 84.0 92.0 
74.0 84.0 99.0 
96.0 71.0 81.0 
86.0 98.0 87.0 
79.0 86.0 82.0 
57.0 74.0 87.0 
84.0 71.0 81.0 
67.0 90.0 82.0 
75.0 94.0 78.0 
90.0 86.0 91.0 
61.0 62.0 92.0 
70.0 72.0 85.0 
80.0 94.0 88.0 
82.0 81.0 76.0 
91.0 103.0 82.0 
77.0 82.0 86.0 
80.0 88.0 89.0 
79.0 90.0 82.0 
64.0 78.0 91.0 
78.0 82.0 78.0 
94.0 91.0 104.0 
73.0 81.0 66.0 
69.0 92.0 88.0 
61.0 73.0 77.0 
101.0 80.0 85.0 
71.0 95.0 73.0 
61.0 80.0 84.0 
67.0 76.0 80.0 
79.0 73.0 86.0 
85.0 71.0 84.0 
90.0 98.0 67.0 
88.0 86.0 51.0 
79.0 107.0 79.0 
84.0 77.0 88.0 
77.0 76.0 78.0 
85.0 86.0 91.0 
73.0 78.0 77.0 
91.0 62.0 87.0 
68.0 95.0 71.0 
78.0 78.0 79.0 
82.0 98.0 90.0 
84.0 84.0 92.0 
74.0 94.0 81.0 
84.0 78.0 84.0 
78.0 71.0 97.0 
85.0 67.0 84.0 
91.0 75.0 83.0 
80.0 75.0 92.0 
65.0 85.0 97.0 
93.0 79.0 89.0 
88.0 76.0 98.0 
73.0 73.0 95.0 
78.0 75.0 73.0 
87.0 77.0 77.0 
86.0 80.0 99.0 
85.0 89.0 92.0 
87.0 98.0 88.0 
86.0 81.0 86.0 
108.0 83.0 86.0 
85.0 82.0 76.0 
77.0 86.0 84.0 
88.0 80.0 94.0 
76.0 92.0 82.0 
81.0 87.0 84.0 
92.0 83.0 86.0 
83.0 81.0 78.0 
74.0 84.0 90.0 
87.0 81.0 93.0 
78.0 81.0 82.0 
78.0 77.0 92.0 
86.0 88.0 64.0 
70.0 96.0 76.0 
79.0 64.0 82.0 
88.0 91.0 84.0 
86.0 74.0 87.0 
80.0 76.0 83.0 
75.0 89.0 93.0 
