I 150
J 15
bounds (0, 100)
cv 1.0
D 1
k 5
t 3
FLR 0.6
FCR 2
abounds (80, 120)

a 
113.0 98.0 89.0 
96.0 99.0 84.0 
100.0 97.0 104.0 
83.0 102.0 84.0 
111.0 86.0 86.0 
98.0 97.0 94.0 
103.0 102.0 102.0 
106.0 78.0 103.0 
111.0 93.0 91.0 
88.0 105.0 87.0 
105.0 85.0 102.0 
112.0 100.0 81.0 
91.0 93.0 96.0 
90.0 84.0 76.0 
96.0 97.0 106.0 
102.0 105.0 95.0 
92.0 85.0 97.0 
110.0 87.0 78.0 
92.0 97.0 103.0 
90.0 72.0 99.0 
89.0 95.0 100.0 
80.0 85.0 95.0 
87.0 101.0 83.0 
106.0 99.0 90.0 
93.0 92.0 90.0 
91.0 80.0 100.0 
67.0 96.0 99.0 
87.0 85.0 87.0 
95.0 89.0 112.0 
88.0 67.0 87.0 
88.0 98.0 86.0 
85.0 81.0 80.0 
93.0 93.0 103.0 
106.0 108.0 100.0 
82.0 110.0 83.0 
81.0 90.0 96.0 
100.0 101.0 97.0 
83.0 100.0 126.0 
100.0 91.0 101.0 
97.0 99.0 92.0 
108.0 101.0 104.0 
106.0 95.0 95.0 
89.0 84.0 93.0 
105.0 92.0 106.0 
86.0 107.0 100.0 
93.0 111.0 107.0 
92.0 98.0 78.0 
96.0 101.0 111.0 
86.0 94.0 101.0 
98.0 111.0 107.0 
94.0 102.0 109.0 
115.0 107.0 91.0 
92.0 88.0 76.0 
100.0 100.0 100.0 
91.0 102.0 90.0 
92.0 83.0 91.0 
100.0 98.0 86.0 
94.0 105.0 92.0 
89.0 107.0 100.0 
88.0 110.0 92.0 
91.0 85.0 122.0 
105.0 87.0 111.0 
94.0 98.0 90.0 
109.0 96.0 100.0 
87.0 88.0 87.0 
90.0 100.0 98.0 
69.0 84.0 92.0 
109.0 104.0 90.0 
106.0 87.0 98.0 
97.0 98.0 97.0 
102.0 81.0 93.0 
86.0 92.0 121.0 
94.0 100.0 91.0 
101.0 86.0 109.0 
86.0 91.0 91.0 
106.0 98.0 96.0 
101.0 96.0 103.0 
105.0 101.0 100.0 
101.0 103.0 96.0 
79.0 85.0 104.0 
119.0 109.0 88.0 
91.0 90.0 98.0 
97.0 98.0 87.0 
75.0 106.0 97.0 
105.0 83.0 89.0 
114.0 82.0 109.0 
72.0 93.0 83.0 
105.0 113.0 108.0 
96.0 98.0 83.0 
102.0 83.0 95.0 
106.0 88.0 109.0 
88.0 87.0 83.0 
108.0 83.0 86.0 
101.0 87.0 81.0 
74.0 93.0 96.0 
96.0 99.0 97.0 
91.0 84.0 100.0 
88.0 95.0 91.0 
110.0 68.0 100.0 
87.0 91.0 108.0 
82.0 107.0 108.0 
109.0 92.0 111.0 
87.0 103.0 93.0 
92.0 80.0 97.0 
92.0 100.0 86.0 
111.0 82.0 108.0 
92.0 107.0 79.0 
96.0 81.0 103.0 
98.0 89.0 108.0 
105.0 84.0 86.0 
111.0 102.0 115.0 
110.0 99.0 91.0 
91.0 109.0 112.0 
87.0 95.0 103.0 
105.0 104.0 111.0 
84.0 111.0 97.0 
96.0 88.0 92.0 
101.0 91.0 95.0 
98.0 85.0 119.0 
105.0 89.0 104.0 
103.0 100.0 85.0 
92.0 104.0 96.0 
91.0 95.0 96.0 
97.0 88.0 101.0 
91.0 114.0 96.0 
102.0 91.0 109.0 
83.0 95.0 112.0 
99.0 102.0 81.0 
97.0 120.0 103.0 
97.0 87.0 95.0 
96.0 93.0 96.0 
85.0 104.0 86.0 
118.0 90.0 92.0 
102.0 84.0 111.0 
80.0 108.0 99.0 
110.0 117.0 91.0 
87.0 91.0 96.0 
94.0 112.0 92.0 
98.0 83.0 83.0 
93.0 81.0 84.0 
87.0 106.0 96.0 
109.0 88.0 81.0 
109.0 98.0 101.0 
81.0 87.0 103.0 
97.0 87.0 95.0 
91.0 97.0 90.0 
93.0 98.0 97.0 
99.0 85.0 96.0 
84.0 86.0 110.0 
101.0 96.0 90.0 

Icoords
38.4616 39.3249
12.9025 42.8703
32.8026 26.7931
53.2806 22.1202
13.4817 60.8869
69.3597 91.8561
68.5847 43.7187
36.982 74.2181
92.2425 61.554
1.8852 87.6294
18.8427 44.2861
90.1181 44.7311
19.7097 14.3417
58.0041 14.2661
30.4669 17.8902
89.6575 92.214
83.6876 60.5544
5.578 35.3561
99.6818 59.7749
77.6487 13.773
62.8408 30.434
40.6403 99.9089
25.5885 61.6869
72.855 1.9114
77.0922 89.3101
8.4626 10.9992
42.9842 6.1249
99.6901 99.0717
12.7464 84.598
33.4088 34.7957
61.6357 21.562
12.5938 71.84
58.3287 12.3941
17.7673 24.6307
53.5326 60.7839
66.5909 13.2488
93.0263 43.1189
15.8921 4.8731
40.0686 88.235
20.0351 59.9927
23.4509 46.8688
54.4982 60.5697
98.3097 46.6399
98.9865 90.4904
22.9719 59.7967
19.979 76.9635
13.7717 42.0747
6.1256 89.9072
9.1712 52.8573
65.9596 19.0134
79.5708 14.0062
42.2436 1.4578
15.1216 87.1592
20.5 67.7382
96.0667 59.6513
44.9182 55.1736
41.3092 59.9381
60.5335 7.9978
94.5358 83.8236
25.6874 1.2902
49.9825 76.269
72.5487 26.3573
75.6944 32.1781
92.655 87.1609
27.5849 34.8085
89.137 70.927
20.9562 38.3686
82.9544 88.8011
72.6941 99.0437
20.7356 96.6108
2.6175 61.251
19.7922 24.2266
99.1746 76.9934
96.1174 25.5886
80.1374 55.5896
63.8253 39.7366
22.8654 80.8597
55.053 31.7915
3.8081 62.6856
84.1614 71.3701
31.3136 89.1559
28.5008 39.3739
33.0408 1.9254
68.6485 72.8359
14.8917 1.6882
27.5574 58.0796
11.4356 50.6816
18.7884 79.2904
52.4322 63.5006
