I 150
J 15
bounds (0, 100)
cv 1.0
D 25
k 5
t 3
FLR 0.8
FCR 2
abounds (80, 120)

a 
95.0 111.0 97.0 
100.0 99.0 102.0 
113.0 124.0 104.0 
100.0 108.0 119.0 
98.0 106.0 82.0 
95.0 106.0 111.0 
118.0 116.0 102.0 
118.0 120.0 99.0 
103.0 108.0 109.0 
100.0 95.0 114.0 
93.0 98.0 109.0 
96.0 119.0 98.0 
106.0 116.0 112.0 
119.0 125.0 89.0 
97.0 120.0 82.0 
87.0 100.0 108.0 
110.0 104.0 103.0 
109.0 97.0 107.0 
94.0 104.0 113.0 
123.0 93.0 103.0 
117.0 118.0 104.0 
105.0 91.0 106.0 
84.0 103.0 133.0 
117.0 101.0 110.0 
83.0 116.0 107.0 
98.0 101.0 115.0 
120.0 111.0 105.0 
114.0 93.0 99.0 
105.0 118.0 101.0 
113.0 111.0 124.0 
109.0 105.0 105.0 
120.0 119.0 100.0 
98.0 124.0 100.0 
94.0 94.0 93.0 
117.0 94.0 95.0 
94.0 118.0 117.0 
109.0 93.0 96.0 
96.0 119.0 124.0 
102.0 99.0 91.0 
108.0 118.0 98.0 
114.0 104.0 111.0 
113.0 101.0 107.0 
97.0 115.0 101.0 
122.0 110.0 111.0 
114.0 107.0 112.0 
104.0 111.0 101.0 
97.0 108.0 103.0 
123.0 100.0 103.0 
99.0 129.0 124.0 
112.0 98.0 117.0 
90.0 119.0 97.0 
97.0 113.0 114.0 
129.0 108.0 109.0 
118.0 106.0 123.0 
109.0 120.0 99.0 
114.0 89.0 115.0 
97.0 111.0 88.0 
101.0 95.0 105.0 
108.0 111.0 109.0 
120.0 97.0 110.0 
116.0 108.0 111.0 
120.0 108.0 114.0 
110.0 122.0 120.0 
124.0 107.0 103.0 
103.0 86.0 90.0 
92.0 102.0 130.0 
112.0 95.0 125.0 
111.0 94.0 112.0 
102.0 116.0 102.0 
110.0 123.0 113.0 
98.0 96.0 121.0 
111.0 102.0 104.0 
91.0 98.0 104.0 
105.0 103.0 105.0 
121.0 98.0 105.0 
114.0 91.0 101.0 
99.0 105.0 113.0 
107.0 92.0 107.0 
111.0 107.0 120.0 
103.0 101.0 92.0 
103.0 93.0 95.0 
119.0 111.0 113.0 
114.0 116.0 124.0 
107.0 110.0 108.0 
105.0 107.0 92.0 
114.0 109.0 100.0 
97.0 99.0 133.0 
111.0 100.0 119.0 
107.0 108.0 122.0 
110.0 116.0 106.0 
103.0 107.0 103.0 
108.0 123.0 108.0 
110.0 103.0 109.0 
112.0 96.0 108.0 
116.0 100.0 114.0 
111.0 98.0 95.0 
110.0 115.0 108.0 
97.0 112.0 116.0 
120.0 109.0 85.0 
109.0 114.0 111.0 
108.0 128.0 110.0 
102.0 101.0 112.0 
92.0 101.0 108.0 
118.0 98.0 118.0 
111.0 114.0 117.0 
94.0 96.0 107.0 
117.0 115.0 93.0 
114.0 107.0 115.0 
114.0 116.0 102.0 
118.0 121.0 123.0 
96.0 106.0 95.0 
99.0 107.0 111.0 
95.0 114.0 103.0 
93.0 94.0 112.0 
123.0 109.0 133.0 
107.0 111.0 116.0 
114.0 96.0 102.0 
106.0 114.0 112.0 
103.0 86.0 102.0 
89.0 104.0 99.0 
129.0 107.0 121.0 
101.0 103.0 133.0 
116.0 132.0 121.0 
114.0 108.0 100.0 
104.0 114.0 108.0 
108.0 104.0 110.0 
131.0 120.0 106.0 
101.0 101.0 106.0 
99.0 95.0 109.0 
106.0 97.0 112.0 
127.0 111.0 103.0 
107.0 102.0 95.0 
102.0 102.0 101.0 
101.0 113.0 122.0 
107.0 113.0 102.0 
105.0 119.0 103.0 
108.0 121.0 106.0 
129.0 98.0 118.0 
103.0 96.0 107.0 
106.0 114.0 102.0 
105.0 100.0 102.0 
112.0 127.0 102.0 
107.0 110.0 108.0 
109.0 96.0 93.0 
104.0 119.0 117.0 
111.0 116.0 91.0 
121.0 108.0 98.0 
106.0 102.0 106.0 
108.0 114.0 100.0 
125.0 84.0 124.0 

Icoords
24.8567 47.1312
26.0198 23.7928
50.0135 98.3721
40.5338 27.0628
96.1162 17.3508
32.042 75.4224
92.5939 46.6493
5.1897 80.503
93.2716 6.8235
20.2563 65.7578
95.8354 88.356
84.6946 85.4054
59.6073 83.6406
0.7854 69.9582
58.1896 14.4934
26.1147 47.845
1.2719 36.2985
12.3558 2.1479
21.4972 32.7487
0.8671 73.1179
15.2215 21.3473
12.3366 95.9719
12.9884 57.8259
92.5163 85.413
99.7466 50.8687
77.6047 86.3473
78.2957 37.6192
79.1633 93.7355
3.4789 25.1116
13.6214 31.0387
37.2683 33.7991
85.2063 26.0098
23.8512 68.7591
67.1075 38.5145
39.6269 68.6162
90.161 20.2881
44.3544 4.2837
61.4514 51.4317
51.2773 44.5846
28.758 62.3381
78.9257 91.6822
69.3002 86.6486
74.7437 59.2821
25.7074 6.3666
83.6841 20.4145
40.5536 38.5789
77.0649 67.1553
51.5594 97.6736
10.8006 37.418
72.4704 24.9008
19.4003 62.2096
13.9265 26.0659
7.5627 0.1479
98.8081 64.1226
78.7068 28.6301
12.7465 75.1193
94.5275 44.2283
67.1367 85.6164
92.6152 19.8786
86.7236 66.2376
23.5224 64.8234
56.3282 84.8729
92.0229 91.1998
70.5409 42.8404
22.9715 89.7791
57.1984 72.9611
59.4786 83.8359
39.5924 94.922
71.1099 29.0751
16.4973 6.6639
47.4319 87.7593
60.822 70.1609
90.4227 1.4873
70.0229 88.5257
30.2911 19.9803
4.3159 1.1589
46.0553 48.1752
81.8241 17.7487
96.5009 86.9578
80.3628 2.4657
72.4848 14.8703
95.3125 56.8292
85.5065 42.2276
91.9456 66.5192
67.5499 46.1489
98.3962 17.8205
55.9969 53.7159
96.336 89.2801
