I 150
J 15
bounds (0, 100)
cv 0.5
D 25
k 5
t 3
FLR 0.4
FCR 10
abounds (80, 120)

a 
102.0 88.0 106.0 
104.0 81.0 104.0 
103.0 96.0 115.0 
95.0 87.0 87.0 
92.0 87.0 94.0 
98.0 113.0 87.0 
112.0 100.0 106.0 
103.0 99.0 92.0 
89.0 82.0 124.0 
98.0 89.0 87.0 
124.0 76.0 88.0 
91.0 100.0 101.0 
92.0 103.0 89.0 
105.0 111.0 106.0 
87.0 92.0 114.0 
94.0 89.0 110.0 
103.0 99.0 95.0 
109.0 101.0 94.0 
102.0 112.0 113.0 
97.0 92.0 106.0 
92.0 97.0 82.0 
102.0 111.0 105.0 
105.0 112.0 81.0 
110.0 104.0 103.0 
100.0 82.0 96.0 
85.0 112.0 100.0 
73.0 99.0 109.0 
98.0 84.0 74.0 
99.0 96.0 98.0 
88.0 102.0 98.0 
81.0 90.0 107.0 
89.0 104.0 103.0 
102.0 99.0 99.0 
89.0 106.0 106.0 
92.0 122.0 96.0 
103.0 80.0 119.0 
95.0 101.0 102.0 
104.0 85.0 97.0 
86.0 105.0 112.0 
112.0 106.0 81.0 
86.0 87.0 103.0 
125.0 100.0 103.0 
115.0 82.0 104.0 
95.0 90.0 107.0 
105.0 91.0 92.0 
83.0 102.0 95.0 
118.0 102.0 112.0 
92.0 97.0 99.0 
92.0 98.0 101.0 
93.0 82.0 114.0 
76.0 87.0 100.0 
91.0 92.0 107.0 
87.0 100.0 114.0 
103.0 104.0 103.0 
90.0 119.0 100.0 
97.0 79.0 98.0 
101.0 95.0 94.0 
116.0 102.0 106.0 
86.0 87.0 106.0 
86.0 82.0 92.0 
99.0 100.0 107.0 
115.0 98.0 90.0 
103.0 112.0 100.0 
104.0 113.0 95.0 
87.0 88.0 76.0 
99.0 92.0 90.0 
103.0 94.0 97.0 
91.0 91.0 103.0 
88.0 93.0 91.0 
88.0 116.0 103.0 
103.0 80.0 99.0 
88.0 101.0 96.0 
106.0 115.0 89.0 
97.0 105.0 105.0 
99.0 102.0 115.0 
81.0 92.0 110.0 
87.0 97.0 103.0 
82.0 112.0 88.0 
91.0 97.0 108.0 
95.0 106.0 106.0 
107.0 89.0 101.0 
102.0 107.0 89.0 
101.0 114.0 94.0 
91.0 98.0 97.0 
115.0 92.0 113.0 
84.0 94.0 95.0 
114.0 90.0 102.0 
106.0 97.0 92.0 
103.0 106.0 99.0 
102.0 97.0 112.0 
98.0 107.0 90.0 
77.0 89.0 92.0 
101.0 96.0 104.0 
89.0 97.0 83.0 
99.0 97.0 88.0 
94.0 92.0 105.0 
115.0 93.0 108.0 
91.0 101.0 107.0 
87.0 85.0 98.0 
110.0 95.0 91.0 
103.0 116.0 92.0 
101.0 96.0 103.0 
101.0 102.0 103.0 
94.0 99.0 95.0 
113.0 96.0 104.0 
81.0 109.0 108.0 
102.0 99.0 96.0 
105.0 106.0 107.0 
92.0 109.0 99.0 
102.0 77.0 104.0 
74.0 95.0 98.0 
93.0 109.0 81.0 
100.0 108.0 104.0 
78.0 88.0 111.0 
97.0 109.0 103.0 
108.0 107.0 101.0 
91.0 78.0 103.0 
