I 200
J 20
bounds (0, 100)
cv 1.5
D 10
k 5
t 3
FLR 0.4
FCR 8
λbounds (80, 120)

λ 
101.5579 110.9502 106.5085 
101.8889 103.3856 98.7728 
97.3185 87.5991 99.72 
118.443 94.9017 104.1454 
92.7449 111.4812 106.5329 
111.8766 92.4838 98.8558 
102.369 112.3972 106.8019 
97.2084 86.8561 110.9132 
106.7394 85.4396 93.978 
91.4213 98.8095 84.4112 
119.8486 101.9812 110.6888 
112.3978 117.0904 118.6205 
85.6808 99.4993 105.6838 
88.5882 115.0768 86.9122 
118.2388 105.9017 104.422 
111.3683 102.1416 81.991 
85.8416 85.7164 111.8379 
117.4888 83.4424 88.9732 
98.4184 89.0862 112.8734 
92.3565 93.8529 88.4077 
89.2217 86.9195 83.2908 
106.9565 102.9651 82.2281 
83.326 111.9074 88.7135 
84.9021 81.6331 109.7333 
83.2552 93.3075 108.3922 
112.1093 89.5766 119.9111 
106.9331 85.1253 95.5566 
102.9352 115.8043 97.3882 
103.048 115.3476 94.8415 
94.9667 102.6069 83.4388 
101.1323 106.077 105.2742 
113.5389 114.3677 86.8255 
119.3338 91.6645 107.0914 
113.4287 82.3727 87.7426 
101.1521 105.6558 111.8495 
84.7923 111.1951 101.1948 
87.1845 97.2764 100.2133 
87.0023 92.2533 83.6499 
113.1258 116.5206 119.4211 
95.9493 84.0157 87.8956 
89.165 87.962 112.1404 
100.7334 85.5859 80.1547 
103.5405 87.0365 98.7084 
107.5519 114.1432 80.0222 
115.2691 88.9716 90.321 
104.5639 114.6241 88.1884 
91.4486 86.8079 116.0534 
83.2508 106.4587 87.386 
100.4676 113.6622 106.9604 
84.3168 100.2278 82.6366 
109.5517 118.4185 81.0312 
92.0585 99.4118 100.9981 
93.589 86.1319 108.605 
94.1788 97.2647 114.4989 
103.2807 89.538 100.4738 
89.6465 105.7517 92.6134 
119.6669 103.1765 114.3158 
110.8962 107.3696 104.8177 
81.9267 88.99 101.0927 
81.6163 90.4053 106.0686 
115.8189 112.3357 80.0233 
111.774 105.6565 88.3385 
107.5027 81.004 88.203 
94.9388 102.1241 95.6511 
83.7384 83.676 115.0792 
83.1375 114.371 86.5971 
91.5162 117.5339 119.9583 
91.8116 118.1899 95.2058 
105.1528 95.1288 86.8083 
112.6568 93.8389 97.3629 
89.8984 113.6192 81.623 
112.4426 98.5806 82.7087 
119.9092 89.8085 81.3375 
91.6034 106.5093 100.3376 
98.2086 118.6159 82.3045 
111.4271 84.3175 116.0998 
106.6959 88.2512 98.1841 
100.8679 119.5622 103.2837 
99.2293 87.963 115.5948 
