I 150
J 15
bounds (0, 100)
cv 0.5
D 1
k 5
t 3
FLR 0.6
FCR 10
λbounds (80, 120)

λ 
107.0359 92.9201 95.7991 
100.7595 111.9823 94.0046 
106.7743 81.7456 85.9022 
114.8642 116.2234 117.3868 
111.8189 86.3913 95.7698 
117.8919 87.7028 93.1574 
82.8248 103.0605 91.8208 
113.0152 105.9762 81.0645 
118.2947 114.2853 112.6725 
118.4488 115.5215 101.7292 
93.8879 101.8027 118.5147 
104.3172 97.679 117.1803 
110.9052 107.6114 103.6386 
80.9476 97.6826 106.0846 
95.8471 94.8013 82.0927 
90.9163 106.356 114.0045 
98.2287 91.5015 115.981 
104.8928 91.1974 90.5976 
98.8571 94.8112 96.6602 
103.2369 116.7297 101.5645 
81.7294 112.9661 98.9247 
112.489 111.3702 80.8431 
82.1946 89.6557 84.556 
101.03 87.355 107.2244 
114.0274 97.2966 84.3297 
99.0201 87.5993 101.3244 
93.7052 92.5058 86.4054 
119.9534 107.1899 97.2558 
86.5293 108.3067 84.0958 
101.1848 114.6335 92.9654 
110.2721 95.3862 114.982 
87.5772 89.9779 110.4764 
90.5096 96.0289 84.8265 
93.8032 81.7257 84.782 
97.4887 103.3097 118.2646 
112.7286 91.6846 117.6398 
82.1071 97.5233 88.3454 
108.5052 96.1311 97.7179 
90.7507 101.823 98.385 
112.6248 114.8965 83.6883 
100.9667 94.1311 86.1347 
107.8429 103.7057 99.5181 
108.4693 92.1523 98.9575 
85.9175 89.9863 91.9986 
94.3321 86.5505 92.7074 
113.0706 101.4518 99.0521 
118.4379 97.8268 84.2631 
86.9078 119.9598 118.0767 
91.9199 99.5488 113.7875 
100.4282 101.168 91.1722 
86.0864 115.4955 93.017 
81.3936 111.3994 90.6034 
94.587 118.4417 109.3996 
116.7639 109.9317 101.0912 
82.4945 115.7029 83.46 
94.7636 97.5964 100.8366 
118.0437 98.7768 82.2415 
117.0615 85.3461 111.7727 
110.9106 98.3183 91.7066 
100.8268 103.9622 98.1265 
90.3381 98.0902 92.9235 
91.9547 111.5501 108.1114 
93.3107 90.6301 87.3194 
113.0236 109.8259 95.7961 
103.5686 114.8313 98.9186 
81.0968 87.3373 81.2901 
87.2201 114.7687 103.8496 
97.0475 95.2911 114.773 
97.752 94.5608 109.7491 
97.66 96.0011 112.4422 
111.0759 92.7102 112.1746 
87.6983 98.5231 96.3435 
98.3367 82.6001 81.509 
112.925 102.6383 114.1872 
101.6044 104.5274 113.7047 
92.0822 94.546 93.8137 
87.8912 88.6794 88.7517 
80.3406 109.1725 111.0151 
81.684 81.2237 118.3868 
82.0531 100.05 84.0381 
92.7935 112.2976 80.1737 
96.6747 99.1553 113.9028 
102.1445 92.147 98.3127 
103.1338 119.5486 117.0901 
114.0073 86.4311 116.7812 
90.8671 89.975 88.4104 
107.214 118.4755 98.5868 
80.4048 107.5349 91.682 
103.6845 84.465 101.4629 
109.9643 82.6766 100.7298 
110.751 110.8558 110.0462 
89.2122 90.0057 107.3946 
85.8015 99.5342 102.2555 
107.9565 105.0287 114.442 
82.3607 116.469 101.4023 
98.1188 119.1892 101.3866 
87.1131 114.6075 101.1313 
