I 250
J 25
bounds (0, 100)
cv 1.0
D 50
k 5
t 3
FLR 0.8
FCR 4
abounds (80, 120)

a 
128.0 98.0 109.0 
109.0 111.0 132.0 
103.0 134.0 110.0 
113.0 105.0 105.0 
109.0 95.0 98.0 
113.0 119.0 95.0 
105.0 113.0 121.0 
90.0 93.0 119.0 
112.0 118.0 119.0 
115.0 112.0 124.0 
118.0 110.0 116.0 
102.0 100.0 114.0 
119.0 106.0 129.0 
110.0 110.0 98.0 
103.0 106.0 119.0 
99.0 130.0 115.0 
94.0 116.0 96.0 
107.0 118.0 110.0 
127.0 117.0 114.0 
136.0 90.0 124.0 
108.0 123.0 112.0 
115.0 90.0 95.0 
124.0 115.0 100.0 
122.0 85.0 103.0 
123.0 119.0 101.0 
119.0 116.0 103.0 
129.0 108.0 103.0 
105.0 115.0 91.0 
107.0 114.0 102.0 
109.0 111.0 114.0 
124.0 135.0 96.0 
111.0 101.0 120.0 
125.0 119.0 109.0 
121.0 103.0 122.0 
117.0 108.0 102.0 
106.0 120.0 105.0 
104.0 109.0 120.0 
130.0 112.0 110.0 
105.0 103.0 114.0 
94.0 115.0 114.0 
109.0 100.0 100.0 
130.0 99.0 115.0 
103.0 122.0 89.0 
114.0 113.0 109.0 
98.0 110.0 92.0 
120.0 126.0 112.0 
117.0 111.0 115.0 
108.0 112.0 119.0 
79.0 109.0 99.0 
150.0 117.0 128.0 
116.0 91.0 121.0 
109.0 104.0 104.0 
115.0 122.0 97.0 
98.0 106.0 103.0 
108.0 108.0 110.0 
112.0 118.0 115.0 
113.0 100.0 129.0 
114.0 117.0 108.0 
121.0 127.0 111.0 
105.0 100.0 106.0 
104.0 108.0 107.0 
95.0 109.0 123.0 
114.0 124.0 106.0 
114.0 118.0 128.0 
112.0 125.0 119.0 
113.0 115.0 118.0 
111.0 113.0 112.0 
113.0 102.0 116.0 
105.0 116.0 124.0 
103.0 108.0 121.0 
111.0 121.0 108.0 
103.0 99.0 114.0 
113.0 87.0 128.0 
118.0 110.0 109.0 
104.0 107.0 106.0 
125.0 117.0 117.0 
111.0 103.0 128.0 
134.0 112.0 114.0 
85.0 122.0 119.0 
104.0 104.0 100.0 
117.0 95.0 123.0 
115.0 98.0 128.0 
97.0 109.0 109.0 
111.0 106.0 88.0 
106.0 102.0 126.0 
117.0 105.0 111.0 
91.0 93.0 96.0 
123.0 118.0 102.0 
107.0 105.0 103.0 
114.0 106.0 114.0 
122.0 100.0 128.0 
114.0 84.0 115.0 
100.0 87.0 107.0 
114.0 92.0 117.0 
105.0 128.0 105.0 
104.0 114.0 123.0 
112.0 94.0 90.0 
119.0 117.0 116.0 
119.0 114.0 110.0 
104.0 102.0 125.0 
118.0 111.0 99.0 
116.0 99.0 118.0 
98.0 117.0 100.0 
123.0 94.0 102.0 
90.0 131.0 114.0 
96.0 114.0 100.0 
103.0 116.0 107.0 
110.0 102.0 120.0 
109.0 122.0 111.0 
110.0 109.0 106.0 
130.0 117.0 108.0 
80.0 107.0 99.0 
112.0 99.0 87.0 
114.0 108.0 120.0 
110.0 111.0 109.0 
98.0 103.0 111.0 
108.0 114.0 107.0 
122.0 101.0 111.0 
108.0 108.0 112.0 
114.0 104.0 110.0 
126.0 112.0 122.0 
114.0 113.0 124.0 
109.0 103.0 111.0 
120.0 92.0 110.0 
116.0 119.0 125.0 
106.0 130.0 109.0 
132.0 108.0 104.0 
108.0 116.0 111.0 
90.0 107.0 100.0 
113.0 114.0 101.0 
111.0 115.0 114.0 
101.0 119.0 111.0 
92.0 116.0 106.0 
112.0 103.0 99.0 
103.0 109.0 107.0 
117.0 113.0 118.0 
112.0 103.0 114.0 
104.0 111.0 99.0 
105.0 112.0 117.0 
107.0 106.0 124.0 
109.0 108.0 108.0 
94.0 119.0 114.0 
112.0 104.0 104.0 
117.0 100.0 99.0 
94.0 111.0 116.0 
127.0 124.0 105.0 
120.0 100.0 104.0 
131.0 101.0 105.0 
110.0 107.0 125.0 
114.0 101.0 127.0 
113.0 90.0 99.0 
109.0 105.0 105.0 
100.0 103.0 114.0 
121.0 118.0 112.0 
118.0 138.0 106.0 
101.0 137.0 102.0 
103.0 111.0 99.0 
102.0 101.0 118.0 
91.0 108.0 102.0 
109.0 117.0 100.0 
104.0 101.0 113.0 
104.0 108.0 115.0 
101.0 94.0 123.0 
119.0 116.0 88.0 
106.0 107.0 110.0 
116.0 103.0 100.0 
123.0 103.0 102.0 
109.0 105.0 92.0 
115.0 117.0 110.0 
101.0 112.0 114.0 
109.0 110.0 109.0 
104.0 105.0 124.0 
97.0 109.0 102.0 
112.0 153.0 111.0 
110.0 94.0 102.0 
113.0 105.0 117.0 
117.0 98.0 128.0 
98.0 103.0 126.0 
125.0 115.0 97.0 
109.0 111.0 116.0 
118.0 128.0 111.0 
127.0 111.0 124.0 
109.0 121.0 108.0 
98.0 117.0 117.0 
125.0 112.0 119.0 
113.0 107.0 124.0 
114.0 104.0 113.0 
99.0 115.0 117.0 
116.0 100.0 103.0 
122.0 114.0 101.0 
86.0 122.0 115.0 
94.0 100.0 104.0 
117.0 96.0 104.0 
104.0 103.0 124.0 
111.0 105.0 99.0 
115.0 106.0 114.0 
119.0 99.0 103.0 
110.0 116.0 117.0 
109.0 127.0 108.0 
94.0 111.0 96.0 
111.0 100.0 124.0 
115.0 103.0 90.0 
124.0 96.0 114.0 
122.0 114.0 118.0 
114.0 112.0 136.0 
120.0 98.0 128.0 
96.0 111.0 125.0 
109.0 127.0 119.0 
100.0 114.0 105.0 
119.0 118.0 109.0 
108.0 102.0 117.0 
104.0 119.0 126.0 
127.0 120.0 116.0 
82.0 96.0 96.0 
113.0 106.0 107.0 
103.0 105.0 96.0 
90.0 93.0 106.0 
