I 150
J 15
bounds (0, 100)
cv 0.5
D 100
k 5
t 3
λbounds (80, 120)

λ 
92.502 112.1267 115.68 
118.9314 87.2137 113.3389 
101.6649 98.3149 88.1261 
118.1562 111.1727 101.7872 
107.7433 112.8215 109.338 
96.9184 85.0353 98.1731 
102.3841 93.6737 92.9215 
88.1263 92.0016 102.1844 
85.473 83.5834 107.5929 
98.473 109.6794 97.2723 
113.4167 83.9007 118.8143 
119.7149 116.3871 115.9509 
117.6216 84.7354 108.0601 
101.7881 83.6841 93.6862 
110.7365 103.8523 91.7746 
104.4919 86.4006 93.2414 
85.0463 87.9503 93.0036 
107.3049 83.8023 91.985 
98.5488 107.2359 88.8669 
109.5089 110.8049 112.915 
85.238 96.7376 90.1698 
104.9133 107.5788 112.8273 
114.0647 92.5796 118.1841 
109.2948 99.2946 104.6833 
110.0249 112.2301 117.596 
119.8393 105.1508 99.5942 
85.9587 81.9664 85.9876 
106.6029 99.7834 119.8746 
81.3145 80.4851 112.0694 
96.3719 97.9877 118.4786 
103.3671 119.4287 115.0719 
110.1922 112.8247 94.1537 
115.3571 87.7275 87.2516 
115.6197 89.0582 84.4683 
113.8447 105.357 82.1901 
98.9028 115.953 105.9424 
101.7073 84.9376 115.6687 
96.1222 107.2853 105.79 
111.0049 115.4514 110.7314 
106.7072 84.2911 113.5374 
85.9216 84.9988 110.181 
96.4662 82.2055 97.3998 
98.3437 101.7949 114.7094 
104.9139 87.1742 115.4262 
100.951 101.4553 88.6061 
93.7756 106.3091 93.6341 
83.3906 81.4319 90.0722 
91.7162 89.5488 99.9937 
100.7468 89.2407 97.838 
80.0985 114.9167 99.9591 
90.141 115.603 104.4691 
89.0047 113.5407 83.784 
94.37 111.6833 85.064 
114.0249 108.8684 107.2716 
83.5628 118.245 92.881 
94.1235 109.4543 111.3141 
114.778 90.6513 96.4539 
99.5824 101.0316 87.3093 
106.5158 104.0937 114.5323 
83.0422 80.8655 89.5168 
109.0977 84.2034 107.8039 
106.1449 111.4181 89.3615 
107.4435 118.2812 109.9618 
115.0505 119.2576 85.3532 
88.6684 107.6769 102.8464 
106.9405 85.6591 114.7991 
107.9352 90.0018 118.3044 
115.8969 81.6342 105.7602 
109.7316 118.0483 108.3326 
114.6985 94.1229 89.6936 
104.1804 80.1792 81.0782 
112.6153 86.2735 92.7378 
97.1321 112.9402 102.6317 
100.0754 110.0976 111.7511 
112.3241 91.5249 108.2036 
104.5995 82.1601 104.2422 
100.3003 101.964 82.4293 
115.9563 88.0037 112.6032 
110.5789 84.2074 83.8589 
81.8804 95.1656 119.1103 
103.1036 104.3658 106.2027 
100.0749 111.755 103.1125 
104.8551 105.5002 117.923 
115.4163 107.7407 102.9691 
92.1853 111.2237 93.6757 
81.6485 113.6282 81.3906 
114.8845 105.9507 97.0589 
106.4351 84.1052 108.3185 
84.8314 110.1955 102.0495 
106.7219 100.8628 88.3735 
105.5638 119.4158 99.9383 
92.4623 113.1588 80.125 
106.7877 109.7737 106.0913 
107.5852 93.3463 90.795 
119.9375 111.7587 88.9656 
87.5206 91.2637 97.0175 
113.1598 107.9427 113.598 
100.7865 102.2416 92.4379 
