I 150
J 15
bounds (0, 100)
cv 0.5
D 25
k 5
t 3
FLR 0.6
FCR 8
abounds (80, 120)

a 
124.0 96.0 96.0 
117.0 111.0 121.0 
123.0 117.0 103.0 
99.0 109.0 119.0 
112.0 125.0 126.0 
119.0 112.0 99.0 
101.0 116.0 131.0 
104.0 119.0 112.0 
116.0 118.0 129.0 
106.0 124.0 146.0 
118.0 116.0 112.0 
124.0 115.0 122.0 
122.0 131.0 107.0 
114.0 110.0 107.0 
123.0 118.0 120.0 
119.0 121.0 113.0 
119.0 118.0 109.0 
120.0 104.0 117.0 
126.0 103.0 110.0 
128.0 114.0 99.0 
111.0 104.0 97.0 
106.0 130.0 114.0 
101.0 103.0 103.0 
117.0 117.0 111.0 
121.0 98.0 118.0 
111.0 100.0 123.0 
104.0 109.0 120.0 
114.0 132.0 110.0 
137.0 119.0 128.0 
111.0 115.0 102.0 
108.0 115.0 119.0 
115.0 120.0 127.0 
116.0 108.0 110.0 
99.0 110.0 122.0 
131.0 118.0 111.0 
114.0 114.0 109.0 
130.0 115.0 124.0 
130.0 120.0 111.0 
111.0 121.0 102.0 
123.0 105.0 109.0 
123.0 102.0 93.0 
121.0 95.0 116.0 
115.0 119.0 123.0 
97.0 100.0 101.0 
122.0 128.0 114.0 
121.0 121.0 126.0 
108.0 123.0 97.0 
110.0 113.0 124.0 
115.0 117.0 126.0 
119.0 110.0 131.0 
102.0 112.0 106.0 
123.0 114.0 98.0 
108.0 121.0 110.0 
105.0 132.0 115.0 
113.0 112.0 121.0 
126.0 99.0 122.0 
119.0 123.0 108.0 
109.0 135.0 108.0 
106.0 114.0 135.0 
115.0 118.0 105.0 
102.0 101.0 114.0 
106.0 111.0 129.0 
128.0 130.0 111.0 
116.0 123.0 108.0 
116.0 123.0 124.0 
116.0 116.0 127.0 
115.0 121.0 119.0 
112.0 113.0 107.0 
108.0 123.0 117.0 
112.0 123.0 119.0 
112.0 119.0 127.0 
114.0 109.0 109.0 
135.0 105.0 122.0 
122.0 99.0 110.0 
123.0 100.0 126.0 
127.0 118.0 110.0 
107.0 116.0 128.0 
133.0 100.0 94.0 
116.0 124.0 116.0 
137.0 110.0 114.0 
104.0 110.0 118.0 
131.0 117.0 111.0 
116.0 105.0 119.0 
111.0 108.0 101.0 
112.0 123.0 109.0 
121.0 129.0 123.0 
103.0 122.0 116.0 
130.0 114.0 121.0 
130.0 101.0 121.0 
115.0 111.0 113.0 
132.0 97.0 103.0 
104.0 132.0 114.0 
117.0 107.0 110.0 
101.0 100.0 115.0 
112.0 101.0 126.0 
104.0 130.0 118.0 
110.0 101.0 108.0 
114.0 118.0 104.0 
131.0 115.0 138.0 
122.0 115.0 105.0 
110.0 107.0 110.0 
104.0 112.0 101.0 
96.0 106.0 115.0 
110.0 117.0 102.0 
103.0 113.0 130.0 
101.0 110.0 103.0 
109.0 118.0 111.0 
128.0 116.0 105.0 
105.0 132.0 100.0 
97.0 104.0 100.0 
106.0 128.0 105.0 
105.0 108.0 123.0 
107.0 105.0 117.0 
112.0 93.0 116.0 
114.0 117.0 108.0 
124.0 115.0 122.0 
114.0 127.0 111.0 
