I 150
J 15
bounds (0, 100)
cv 1.5
D 100
k 5
t 3
FLR 0.8
FCR 10
λbounds (80, 120)

λ 
115.1616 100.2421 106.0759 
95.7547 89.1891 111.0373 
114.1573 105.7321 96.1323 
93.8343 99.7407 96.4912 
99.2959 88.103 107.8129 
119.4113 104.7934 117.6872 
95.0436 108.6142 95.4591 
99.1909 94.923 96.6059 
110.1273 99.5243 107.7949 
95.6286 81.1579 112.1296 
86.7842 100.0934 105.0283 
91.789 94.7501 102.7802 
103.9253 92.7898 109.318 
93.9737 81.9668 91.3751 
103.2212 101.8415 88.3553 
106.1422 113.3723 93.1539 
93.6135 81.6895 89.1711 
84.8315 114.6383 100.9093 
83.6795 95.7213 100.347 
99.5666 111.4558 83.2487 
91.7275 99.5762 94.2298 
101.6841 83.3355 117.0059 
110.6902 117.1416 90.6406 
118.2982 84.9808 98.3956 
84.3418 83.1326 117.094 
98.4818 94.6842 108.2488 
96.4818 113.2044 117.4307 
93.6477 97.4282 89.7138 
111.2429 107.9243 80.2027 
91.7569 116.712 116.698 
92.7712 93.943 87.7206 
108.8812 89.4349 119.0334 
114.3939 90.7509 90.6489 
102.0124 95.5216 107.5839 
105.4033 116.0844 87.1445 
86.7656 117.1542 119.139 
110.9017 99.1253 87.6103 
96.438 98.6149 110.6133 
99.4941 104.4522 84.2571 
84.1489 111.8809 96.0639 
87.1956 81.7727 108.5448 
95.0615 113.5661 91.8631 
118.1753 115.7076 108.6093 
96.7787 111.9105 95.7432 
106.4943 99.5925 110.3475 
86.8951 108.5065 115.0947 
95.5165 112.313 103.3004 
82.1398 114.4797 93.582 
107.2956 107.2398 106.3661 
91.3803 83.1177 82.9118 
91.0108 110.1541 118.9306 
87.7551 115.2689 111.6161 
109.9607 84.3373 90.3576 
88.3397 112.2678 88.7335 
116.9034 116.8042 115.6141 
86.7173 101.5106 108.952 
101.7981 94.5507 105.4223 
83.9142 88.6081 87.5176 
115.9321 105.5964 93.2678 
108.1118 83.8843 85.1403 
101.3845 106.9611 85.99 
101.6727 82.2987 87.8291 
104.0456 90.2413 88.2205 
85.4991 101.8922 92.7306 
108.3739 118.1629 117.4439 
102.2443 101.7291 110.4994 
108.2098 97.7277 107.108 
91.6312 92.3352 114.9106 
86.2229 110.0291 100.9142 
100.6547 81.2447 99.4092 
118.2157 116.226 115.2365 
94.3779 83.6664 119.4439 
110.0836 87.7857 108.7201 
97.7809 119.0282 96.5429 
112.9322 117.9397 105.8247 
93.6587 95.4647 101.3162 
116.2628 106.289 115.8498 
88.2929 96.9438 117.7151 
114.4738 104.527 90.7548 
