I 200
J 20
bounds (0, 100)
cv 1.0
D 10
k 5
t 3
FLR 0.8
FCR 8
abounds (80, 120)

a 
96.0 82.0 103.0 
91.0 116.0 103.0 
95.0 97.0 91.0 
106.0 98.0 92.0 
85.0 103.0 86.0 
98.0 101.0 94.0 
124.0 105.0 92.0 
100.0 90.0 89.0 
103.0 92.0 99.0 
104.0 97.0 101.0 
107.0 101.0 98.0 
96.0 108.0 90.0 
105.0 87.0 103.0 
105.0 84.0 103.0 
103.0 99.0 79.0 
89.0 85.0 93.0 
94.0 94.0 89.0 
113.0 105.0 98.0 
106.0 98.0 101.0 
110.0 88.0 103.0 
104.0 91.0 107.0 
88.0 116.0 100.0 
90.0 96.0 100.0 
96.0 115.0 95.0 
111.0 91.0 96.0 
101.0 108.0 88.0 
101.0 101.0 110.0 
95.0 95.0 87.0 
94.0 125.0 96.0 
101.0 93.0 97.0 
103.0 100.0 102.0 
89.0 123.0 107.0 
113.0 98.0 117.0 
105.0 104.0 97.0 
105.0 99.0 88.0 
106.0 90.0 98.0 
91.0 85.0 97.0 
94.0 104.0 98.0 
94.0 97.0 115.0 
103.0 104.0 95.0 
97.0 87.0 110.0 
103.0 96.0 119.0 
98.0 96.0 99.0 
101.0 112.0 94.0 
89.0 108.0 82.0 
73.0 129.0 107.0 
101.0 109.0 95.0 
110.0 90.0 90.0 
108.0 106.0 101.0 
108.0 100.0 106.0 
112.0 106.0 100.0 
91.0 90.0 101.0 
104.0 77.0 82.0 
100.0 101.0 98.0 
101.0 108.0 94.0 
94.0 95.0 103.0 
97.0 121.0 105.0 
117.0 103.0 110.0 
121.0 94.0 106.0 
84.0 100.0 116.0 
92.0 98.0 107.0 
106.0 85.0 105.0 
97.0 98.0 124.0 
98.0 75.0 105.0 
111.0 108.0 81.0 
92.0 91.0 104.0 
109.0 103.0 77.0 
83.0 93.0 98.0 
85.0 94.0 104.0 
103.0 122.0 113.0 
105.0 98.0 107.0 
107.0 71.0 104.0 
98.0 80.0 95.0 
114.0 117.0 106.0 
103.0 106.0 99.0 
121.0 117.0 118.0 
109.0 109.0 89.0 
101.0 105.0 94.0 
105.0 87.0 92.0 
93.0 111.0 89.0 
97.0 82.0 98.0 
88.0 94.0 89.0 
91.0 107.0 110.0 
105.0 106.0 105.0 
99.0 106.0 112.0 
90.0 105.0 92.0 
110.0 109.0 88.0 
111.0 98.0 122.0 
105.0 93.0 79.0 
116.0 99.0 111.0 
92.0 96.0 113.0 
102.0 110.0 104.0 
123.0 70.0 101.0 
116.0 106.0 91.0 
93.0 79.0 107.0 
118.0 104.0 107.0 
110.0 85.0 95.0 
118.0 108.0 95.0 
108.0 112.0 86.0 
95.0 98.0 114.0 
77.0 97.0 106.0 
88.0 111.0 96.0 
107.0 96.0 100.0 
108.0 102.0 103.0 
122.0 101.0 105.0 
120.0 89.0 105.0 
99.0 95.0 95.0 
86.0 108.0 105.0 
87.0 114.0 108.0 
98.0 96.0 107.0 
94.0 115.0 130.0 
104.0 96.0 102.0 
86.0 89.0 83.0 
102.0 100.0 106.0 
89.0 83.0 91.0 
94.0 98.0 98.0 
108.0 91.0 111.0 
87.0 99.0 92.0 
104.0 103.0 102.0 
97.0 115.0 97.0 
98.0 114.0 92.0 
91.0 94.0 91.0 
116.0 105.0 116.0 
82.0 101.0 99.0 
100.0 89.0 97.0 
99.0 95.0 105.0 
108.0 104.0 94.0 
100.0 103.0 101.0 
100.0 99.0 101.0 
96.0 111.0 92.0 
91.0 108.0 88.0 
96.0 99.0 81.0 
83.0 102.0 101.0 
91.0 83.0 105.0 
97.0 78.0 104.0 
94.0 109.0 111.0 
95.0 98.0 113.0 
98.0 98.0 97.0 
112.0 126.0 86.0 
109.0 99.0 105.0 
111.0 109.0 110.0 
95.0 107.0 109.0 
96.0 90.0 114.0 
99.0 102.0 110.0 
105.0 95.0 113.0 
92.0 102.0 131.0 
94.0 104.0 100.0 
111.0 92.0 100.0 
96.0 93.0 94.0 
93.0 73.0 97.0 
104.0 115.0 89.0 
103.0 115.0 113.0 
83.0 107.0 93.0 
100.0 90.0 110.0 
101.0 92.0 104.0 
86.0 97.0 107.0 
102.0 90.0 89.0 
113.0 108.0 117.0 
97.0 84.0 104.0 
100.0 106.0 90.0 
110.0 91.0 86.0 
114.0 100.0 101.0 
107.0 96.0 123.0 
90.0 87.0 88.0 
94.0 102.0 91.0 
92.0 85.0 98.0 
90.0 92.0 77.0 
106.0 105.0 96.0 
111.0 131.0 93.0 
122.0 94.0 99.0 
111.0 91.0 105.0 
95.0 109.0 98.0 
96.0 104.0 111.0 
82.0 88.0 111.0 
105.0 108.0 86.0 
93.0 100.0 107.0 
101.0 111.0 91.0 
104.0 110.0 89.0 
62.0 106.0 91.0 
114.0 83.0 102.0 
115.0 108.0 93.0 
97.0 86.0 92.0 
96.0 90.0 93.0 
96.0 84.0 106.0 
90.0 115.0 103.0 
89.0 89.0 104.0 
93.0 88.0 105.0 
94.0 88.0 98.0 
99.0 102.0 96.0 
99.0 94.0 76.0 
85.0 106.0 97.0 
102.0 77.0 98.0 
113.0 98.0 98.0 
107.0 105.0 90.0 
102.0 100.0 115.0 
100.0 99.0 86.0 
88.0 109.0 102.0 
78.0 94.0 82.0 
104.0 103.0 100.0 
113.0 96.0 95.0 

Icoords
98.8769 6.3225
27.4238 77.0033
69.939 83.1421
35.7944 10.6513
28.6145 69.8688
3.2281 3.2969
79.6768 51.7177
85.8492 85.0311
12.9625 27.6758
87.167 81.5881
82.5426 66.335
23.3463 76.8
73.6126 84.8165
55.536 76.4164
51.9662 12.9837
62.5733 21.8341
82.4221 9.9025
20.6382 45.7751
82.921 10.4612
58.1169 64.5085
31.0525 75.2084
87.371 52.8311
10.058 72.4803
