I 250
J 25
bounds (0, 100)
cv 1.5
D 25
k 5
t 3
λbounds (80, 120)

λ 
114.9184 116.0853 106.3232 
101.559 95.2154 87.2422 
92.9464 102.0685 111.5418 
108.2643 92.4735 97.7468 
98.998 105.4478 105.2832 
118.4499 90.5819 104.2543 
99.2295 94.106 118.9193 
111.4425 102.3446 99.2796 
99.551 100.9099 80.6338 
103.4453 88.654 80.0808 
111.665 83.0173 80.2499 
83.586 118.658 80.8952 
112.2989 115.5738 114.4722 
89.854 88.8597 88.7406 
93.9537 116.1779 87.5792 
86.728 111.0665 108.004 
114.7601 115.3736 99.2042 
111.497 108.5738 106.5311 
111.1134 112.2311 105.0655 
87.5962 93.8238 80.7768 
89.2785 97.2215 115.3642 
80.294 116.3272 92.0758 
105.4338 98.2771 87.1825 
85.5168 104.7813 110.019 
110.7557 88.1465 107.1471 
86.6084 115.6314 82.9471 
107.1869 87.8605 89.8406 
81.4994 113.6069 107.8252 
101.6375 91.7689 118.583 
114.5156 89.53 93.2076 
108.8729 111.3828 106.6736 
85.2336 81.9095 113.7339 
102.3818 83.8935 118.1088 
115.2088 85.6608 94.3583 
111.6817 91.9284 87.1179 
93.7634 82.221 96.0359 
85.0072 100.3077 118.8068 
119.2366 88.6512 107.2229 
106.4122 88.1184 112.8791 
108.3215 96.3993 90.2102 
91.8387 90.6962 84.8002 
94.14 82.6342 108.6051 
82.7322 87.7406 95.476 
81.9589 84.0845 102.4576 
107.2693 108.7245 119.8452 
99.3457 92.9641 87.2457 
86.8149 102.0147 88.9295 
118.532 103.3327 102.8243 
102.4561 106.2745 101.0224 
113.8908 82.0829 118.1221 
112.8965 103.8467 119.7197 
86.2906 80.1644 106.9799 
93.0676 89.6095 83.4062 
82.8532 88.4146 98.4241 
87.6135 91.271 91.2287 
117.0273 104.2699 104.3249 
101.1034 117.6124 92.5509 
92.4112 101.2779 98.8423 
109.1878 90.2078 114.2401 
102.9773 81.8613 104.6777 
90.3791 107.6956 105.3606 
82.3821 83.6047 110.4175 
106.2056 105.7184 81.6519 
84.9358 83.4825 101.7935 
96.6968 107.4864 82.4378 
87.1176 81.4133 109.079 
90.6693 106.6298 114.1523 
86.5622 119.1757 89.217 
112.8693 83.3208 84.0256 
115.6652 91.4676 85.8445 
113.9442 92.7836 86.3755 
118.93 104.9879 89.4539 
95.2265 114.8128 95.7083 
98.8435 119.186 113.8964 
114.5059 85.1005 81.6852 
110.6576 87.9511 85.8384 
117.2366 80.2349 117.0797 
116.5569 85.8818 93.4766 
91.3489 99.74 99.1498 
107.3589 100.4802 113.5674 
