I 250
J 25
bounds (0, 100)
cv 0.5
D 50
k 5
t 3
FLR 0.8
FCR 2
abounds (80, 120)

a 
84.0 79.0 81.0 
75.0 81.0 84.0 
84.0 86.0 91.0 
70.0 72.0 79.0 
86.0 79.0 64.0 
68.0 68.0 83.0 
74.0 90.0 83.0 
79.0 71.0 80.0 
91.0 71.0 88.0 
69.0 79.0 76.0 
85.0 63.0 73.0 
91.0 57.0 71.0 
84.0 78.0 99.0 
92.0 84.0 63.0 
80.0 96.0 74.0 
92.0 88.0 60.0 
88.0 83.0 73.0 
87.0 84.0 80.0 
90.0 87.0 83.0 
87.0 72.0 64.0 
80.0 86.0 77.0 
88.0 89.0 92.0 
92.0 82.0 59.0 
71.0 76.0 80.0 
71.0 94.0 92.0 
87.0 87.0 73.0 
87.0 76.0 71.0 
75.0 83.0 86.0 
79.0 59.0 76.0 
88.0 93.0 86.0 
76.0 89.0 73.0 
88.0 76.0 85.0 
83.0 76.0 93.0 
88.0 84.0 81.0 
74.0 83.0 76.0 
71.0 72.0 80.0 
77.0 78.0 79.0 
65.0 78.0 94.0 
72.0 83.0 76.0 
71.0 92.0 72.0 
92.0 109.0 89.0 
79.0 90.0 83.0 
90.0 74.0 90.0 
80.0 83.0 78.0 
78.0 78.0 80.0 
71.0 80.0 87.0 
86.0 80.0 71.0 
95.0 74.0 88.0 
62.0 92.0 87.0 
94.0 79.0 69.0 
82.0 81.0 68.0 
83.0 67.0 99.0 
102.0 76.0 79.0 
79.0 63.0 91.0 
82.0 76.0 97.0 
78.0 92.0 71.0 
91.0 92.0 89.0 
72.0 77.0 82.0 
81.0 79.0 89.0 
76.0 81.0 71.0 
78.0 78.0 66.0 
81.0 93.0 92.0 
91.0 79.0 79.0 
75.0 82.0 94.0 
77.0 90.0 69.0 
92.0 72.0 97.0 
78.0 74.0 81.0 
75.0 67.0 82.0 
75.0 89.0 79.0 
94.0 90.0 94.0 
92.0 85.0 70.0 
69.0 71.0 88.0 
83.0 70.0 82.0 
86.0 83.0 79.0 
71.0 77.0 84.0 
69.0 82.0 83.0 
84.0 80.0 70.0 
84.0 106.0 73.0 
97.0 84.0 80.0 
72.0 85.0 72.0 
92.0 82.0 78.0 
90.0 68.0 75.0 
85.0 72.0 76.0 
76.0 89.0 76.0 
69.0 79.0 73.0 
80.0 86.0 69.0 
74.0 73.0 67.0 
84.0 65.0 87.0 
74.0 76.0 70.0 
95.0 66.0 84.0 
81.0 91.0 76.0 
91.0 88.0 95.0 
82.0 72.0 72.0 
78.0 85.0 89.0 
92.0 75.0 77.0 
83.0 89.0 77.0 
74.0 77.0 70.0 
68.0 79.0 71.0 
84.0 63.0 80.0 
76.0 86.0 76.0 
83.0 76.0 91.0 
75.0 83.0 82.0 
76.0 83.0 74.0 
83.0 80.0 79.0 
82.0 81.0 85.0 
82.0 91.0 79.0 
80.0 79.0 90.0 
91.0 84.0 74.0 
84.0 90.0 94.0 
86.0 95.0 73.0 
84.0 71.0 86.0 
84.0 73.0 75.0 
72.0 89.0 72.0 
83.0 87.0 74.0 
73.0 76.0 63.0 
86.0 103.0 84.0 
91.0 68.0 65.0 
